region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
Bourgogne-Franche-Comté,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,0,0,0,0,0
Bourgogne-Franche-Comté,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,0,,64174309.68,64174309.68,64174309.68
Bourgogne-Franche-Comté,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Bourgogne-Franche-Comté,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Bourgogne-Franche-Comté,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,0,0,1675266188.17,1675266188.17,1675266188.17
Bourgogne-Franche-Comté,operating_expense,data,0,12,93 Services ventilés,0,0,1106338330.49,1106338330.49,1106338330.49
Bourgogne-Franche-Comté,operating_expense,data,1,12,-en AE/CP,0,0,789004729.09,789004729.09,789004729.09
Bourgogne-Franche-Comté,operating_expense,data,1,12,-hors AE/CP,0,0,317333601.4,317333601.4,317333601.4
Bourgogne-Franche-Comté,operating_expense,data,0,13,94 Services communs non ventilés,0,0,504753548,504753548,504753548
Bourgogne-Franche-Comté,operating_expense,data,0,14,953 Virement à la section d'investissement,0,,64174309.68,64174309.68,64174309.68
Bourgogne-Franche-Comté,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Bourgogne-Franche-Comté,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,0,0,1675266188.17,1675266188.17,1675266188.17
Bourgogne-Franche-Comté,operating_revenue,data,0,17,93 Services ventilés,0,0,136183766.17,136183766.17,136183766.17
Bourgogne-Franche-Comté,operating_revenue,data,0,18,94 Services communs non ventilés,0,0,1539082422,1539082422,1539082422
Bourgogne-Franche-Comté,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
Bretagne,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,0,0,1277068100,1277068100,1277068100
Bretagne,investment_expense,data,0,1,90 Opérations ventilées,0,0,709774800,709774800,709774800
Bretagne,investment_expense,data,1,1,- en AP/CP (2),0,0,708724800,708724800,708724800
Bretagne,investment_expense,data,1,1,- hors AP/CP (2),0,0,1050000,1050000,1050000
Bretagne,investment_expense,data,1,1,Dont opérations pour comptes de tiers,0,0,0,0,0
Bretagne,investment_expense,data,0,2,92 Opérations non ventilées,0,0,567293300,567293300,567293300
Bretagne,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Bretagne,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,0,0,1277068100,1277068100,1277068100
Bretagne,investment_revenue,data,0,5,90 Opérations ventilées,0,0,217828100,217828100,217828100
Bretagne,investment_revenue,data,1,5,- Recettes affectées,0,0,217828100,217828100,217828100
Bretagne,investment_revenue,data,1,5,- Financement par le tiers de l’opération confiée à la collectivité,0,0,0,0,0
Bretagne,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),0,0,1054450000,1054450000,1054450000
Bretagne,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,0,0,4790000,4790000,4790000
Bretagne,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,0,,0,0,0
Bretagne,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Bretagne,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Bretagne,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,0,0,1671925200,1671925200,1671925200
Bretagne,operating_expense,data,0,12,93 Services ventilés,0,0,1042340762,1042340960,1042340960
Bretagne,operating_expense,data,1,12,- en AE/CP,0,0,836245762,836245960,836245960
Bretagne,operating_expense,data,1,12,- hors AE/CP,0,0,206095000,206095000,206095000
Bretagne,operating_expense,data,0,13,94 Services communs non ventilés,0,0,629164448,629164250,629164250
Bretagne,operating_expense,data,0,14,953 Virement à la section d'investissement,0,,0,0,0
Bretagne,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Bretagne,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,0,0,1671925200,1671925200,1671925200
Bretagne,operating_revenue,data,0,17,93 Services ventilés,0,0,122489038,122489038,122489038
Bretagne,operating_revenue,data,0,18,94 Services communs non ventilés,0,0,1549436162,1549436162,1549436162
Bretagne,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
